Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,ID,Probability_of_Churn
1,24,0,3,3,1,4,0,20,2,3,4,2140.0,0,2140.0,0.765,1741,40,0.316,0.0,8790,1.0
1,28,0,2,2,1,5,0,31,1,3,3,3781.0,1228,2089.0,0.7909999999999999,1265,33,0.72,0.448,6464,1.0
1,10,0,3,6,2,4,0,23,3,3,0,1558.0,27,1297.0,0.775,1363,30,0.6,0.168,6743,1.0
1,22,0,3,2,2,5,0,23,2,3,1,1630.0,781,387.0,0.4,890,33,0.303,0.763,6454,1.0
1,26,0,4,6,1,4,0,23,0,4,5,2143.0,0,2143.0,0.853,398,26,0.333,0.0,4300,1.0
1,15,1,3,6,2,3,0,19,0,3,4,4742.0,1730,2521.0,0.464,1361,31,0.464,0.468,560,1.0
1,20,1,2,5,3,2,0,17,3,3,2,1438.3,235,757.3,0.731,1458,28,0.583,0.473,5305,1.0
1,24,0,4,5,2,4,0,23,1,2,3,2477.0,0,2477.0,0.445,1027,33,0.387,0.0,2369,1.0
1,22,1,3,3,1,3,0,29,0,1,3,9959.0,0,9959.0,0.688,59,14,0.14300000000000002,0.0,9126,1.0
1,18,0,2,2,2,1,0,22,1,3,4,4196.0,142,3635.0,0.741,1486,28,0.652,0.134,4046,1.0
1,6,1,0,0,2,2,0,11,2,2,3,4097.0,0,4097.0,0.836,4155,54,0.684,0.0,2683,1.0
1,23,0,3,2,2,4,0,30,5,3,4,1675.0,0,1675.0,0.76,1542,43,0.71,0.0,8288,1.0
1,12,0,3,3,1,4,0,14,3,3,3,1438.3,0,1438.3,0.73,1415,35,0.552,0.0,1569,1.0
1,17,1,5,2,1,2,0,12,0,2,3,4259.0,0,4259.0,0.934,4036,61,0.6509999999999999,0.0,7968,1.0
1,26,1,2,1,1,0,0,21,2,2,3,11188.0,0,11188.0,0.6579999999999999,1089,37,0.621,0.0,3606,1.0
1,26,1,1,6,2,1,0,23,2,3,4,4826.0,0,4826.0,0.954,4202,52,1.0,0.0,1010,1.0
1,30,0,1,4,1,4,0,23,5,2,2,2802.0,1760,546.0,0.615,1317,36,0.353,0.805,3090,1.0
1,23,1,5,5,3,2,0,30,2,3,3,1960.0,0,1960.0,0.493,1214,29,0.345,0.0,4794,1.0
1,15,0,3,6,1,4,0,17,4,3,3,1654.0,0,1654.0,0.329,745,20,0.364,0.0,7525,1.0
1,23,0,0,1,3,4,0,24,4,2,3,1749.0,0,1749.0,1.006,1444,28,0.407,0.0,409,1.0
1,26,0,1,5,2,4,0,24,4,3,4,1717.0,0,1717.0,1.028,1794,36,0.586,0.0,7908,1.0
1,20,0,3,5,2,5,0,22,1,3,3,1706.0,0,1706.0,0.726,1275,32,0.448,0.0,7494,1.0
1,30,1,2,3,2,1,0,27,1,6,4,2381.0,211,1730.0,0.5920000000000001,925,36,0.586,0.273,655,1.0
1,24,0,2,5,2,5,0,28,1,3,2,2751.0,1759,498.0,0.4970000000000001,1088,30,0.481,0.8190000000000001,723,1.0
1,14,1,3,3,2,3,0,23,1,3,2,4620.0,0,4620.0,0.654,3750,51,0.6940000000000001,0.0,1133,1.0
1,25,1,2,2,2,3,0,18,4,3,2,1438.3,45,1111.3,0.528,796,30,0.481,0.227,2769,1.0
1,16,1,5,6,1,2,0,23,1,3,2,4963.0,0,4963.0,0.637,1289,30,0.429,0.0,1189,1.0
