CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
7152,0,19,1,3,3,1,2,0,26,4,1,3,12691.0,324,11914.0,1.335,217,32,1.625,0.061
9812,0,23,0,5,2,2,4,0,31,5,1,2,8256.0,408,7392.0,1.541,338,23,3.714,0.105
3053,0,25,1,3,2,1,3,0,23,3,1,0,3418.0,0,3418.0,2.594,893,10,2.333,0.0
7204,0,14,0,4,3,3,4,0,21,2,4,1,3313.0,1973,796.0,1.405,236,10,2.333,0.76
501,0,14,1,3,5,1,2,0,8,4,1,0,4716.0,0,4716.0,2.175,65,18,2.5,0.0
2544,0,18,1,2,2,1,1,0,23,2,1,2,4010.0,785,2763.0,1.376,180,14,0.846,0.311
9493,0,25,1,4,6,1,0,1,33,5,1,3,34516.0,1767,32252.0,1.975,375,21,0.722,0.066
9818,0,6,1,0,3,3,2,3,14,1,2,2,29081.0,934,27685.0,2.204,568,26,0.7140000000000001,0.048
1401,0,11,1,3,5,2,2,0,23,4,2,0,22352.0,1973,19835.0,3.355,395,14,1.182,0.113
5893,0,22,1,2,2,2,3,0,23,5,3,3,11656.0,1213,9979.0,1.524,480,22,0.882,0.14400000000000002
335,0,16,1,5,5,3,0,0,18,4,3,2,6748.0,1005,5281.0,0.831,259,32,0.68,0.217
1346,0,39,1,1,6,1,1,0,41,5,2,3,9095.0,1125,7508.0,1.433,360,16,1.364,0.174
1216,0,30,1,1,0,2,3,0,23,2,6,0,11751.0,0,11751.0,3.397,569,7,3.25,0.0
9701,0,9,1,3,2,3,2,0,17,4,1,3,8547.0,1202,6881.0,1.163,357,23,2.0,0.195
2177,0,31,0,2,2,1,4,0,35,4,2,2,2436.0,234,1756.0,1.19,600,19,0.611,0.27899999999999997
3552,0,18,1,4,6,3,3,0,24,4,1,2,4234.0,513,3262.0,1.7069999999999999,393,17,1.7,0.23
915,0,22,1,4,4,2,3,0,23,5,2,3,30367.0,1850,28005.0,1.7080000000000002,693,17,0.929,0.078
6909,0,15,1,3,6,1,3,0,21,3,4,1,13535.0,829,12244.0,0.653,149,11,1.625,0.095
9325,0,35,1,1,3,1,1,0,43,1,2,3,3193.0,1973,676.0,1.831,381,20,1.143,0.7879999999999999
612,0,19,0,2,2,1,5,0,24,5,1,2,14470.0,695,13313.0,0.966,263,11,0.909,0.08
9326,0,21,1,1,1,0,2,0,29,4,2,0,20979.0,1335,19179.0,0.9059999999999999,241,17,0.929,0.086
195,1,36,0,0,2,1,4,0,36,1,3,3,1438.3,0,1438.3,1.047,21,6,0.6,0.0
8261,0,15,1,3,3,1,1,0,20,3,2,1,4470.0,234,3790.0,1.608,108,8,1.571,0.152
9522,0,21,0,4,6,2,4,0,23,2,3,2,2492.0,1098,932.0,0.573,203,13,0.353,0.626
8612,0,28,1,2,6,1,3,0,29,3,2,3,12217.0,0,12217.0,1.075,194,11,0.75,0.0
